span,count,total_ms,min_ms,avg_ms,max_ms,slowest_detail
scan_items,1,50107.600200,50107.600200,50107.600200,50107.600200,C:\Users\Declan\source\repos\PokemonFanGame\data/items
load_item_json,2175,49456.422900,6.333100,22.738585,148.298900,C:\Users\Declan\source\repos\PokemonFanGame\data/items\tm160.json
item_json_load,2175,49199.601600,6.232200,22.620506,144.814300,C:\Users\Declan\source\repos\PokemonFanGame\data/items\tm160.json
scan_pokemon,1,37263.990000,37263.990000,37263.990000,37263.990000,C:\Users\Declan\source\repos\PokemonFanGame\data/pokemon
load_pokemon_json,1350,36440.838200,8.645300,26.993213,65.698800,C:\Users\Declan\source\repos\PokemonFanGame\data/pokemon\klawf\base_pokemon.json
pokemon_json_load,1350,36104.909600,8.563300,26.744377,48.845900,C:\Users\Declan\source\repos\PokemonFanGame\data/pokemon\corphish\base_pokemon.json
dsl_read_file,1011,23613.899800,10.297700,23.356973,36.816600,C:\Users\Declan\source\repos\PokemonFanGame\data/moves\force_palm.pkmn
scan_moves,1,15729.339000,15729.339000,15729.339000,15729.339000,C:\Users\Declan\source\repos\PokemonFanGame\data/moves
load_move_file,622,15522.292700,12.156600,24.955455,38.644100,C:\Users\Declan\source\repos\PokemonFanGame\data/moves\force_palm.pkmn
scan_abilities,1,8394.378400,8394.378400,8394.378400,8394.378400,C:\Users\Declan\source\repos\PokemonFanGame\data/abilities
load_ability_file,367,8297.349300,10.545900,22.608581,32.437000,C:\Users\Declan\source\repos\PokemonFanGame\data/abilities\shackle.pkmn
scan_status,1,471.915700,471.915700,471.915700,471.915700,C:\Users\Declan\source\repos\PokemonFanGame\data/status
load_status_file,20,466.974900,15.437500,23.348745,31.002400,C:\Users\Declan\source\repos\PokemonFanGame\data/status\freeze.pkmn
dsl_validate,1011,314.962300,0.083400,0.311535,2.000100,C:\Users\Declan\source\repos\PokemonFanGame\data/moves\mud_bomb.pkmn
pokemon_build_base,1350,260.680100,0.056700,0.193096,38.111900,klawf
dsl_ast_parse,1011,193.712300,0.050200,0.191605,1.830400,C:\Users\Declan\source\repos\PokemonFanGame\data/moves\mud_bomb.pkmn
dsl_compile,1011,180.129000,0.048500,0.178169,0.870500,C:\Users\Declan\source\repos\PokemonFanGame\data/moves\sweet_scent.pkmn
dsl_exec,1011,171.699600,0.039000,0.169831,0.884900,C:\Users\Declan\source\repos\PokemonFanGame\data/abilities\berserk.pkmn
item_build,2175,145.282100,0.026500,0.066796,0.271600,dynamax_crystal_gem2216
dsl_ast_walk_checks,1011,100.180000,0.026800,0.099090,1.062800,C:\Users\Declan\source\repos\PokemonFanGame\data/moves\aeroblast.pkmn
scan_field_effects,1,24.327000,24.327000,24.327000,24.327000,C:\Users\Declan\source\repos\PokemonFanGame\data/field_effects
load_field_effect_file,1,24.053300,24.053300,24.053300,24.053300,C:\Users\Declan\source\repos\PokemonFanGame\data/field_effects\trick_room.pkmn
scan_hazards,1,23.038400,23.038400,23.038400,23.038400,C:\Users\Declan\source\repos\PokemonFanGame\data/hazards
load_hazard_file,1,22.753900,22.753900,22.753900,22.753900,C:\Users\Declan\source\repos\PokemonFanGame\data/hazards\toxic_spikes.pkmn
item_repo_create,2175,18.417900,0.003100,0.008468,0.079000,qualot_berry
pokemon_repo_create,1350,10.313700,0.002800,0.007640,0.099200,hoopa_unbound
